Human|[Human]
Homo sapiens|[Homo sapiens]
Male gender|[Male]
Males|[Males]
Female|[Female]
Females|[Females]
Animal (non-human)|[Animal]
Animals|[Animals$Animal Population Group$Animal Population Groups$Population Group, Animal$Population Groups, Animal]
Adult|[Adult$Adults]
Support, Non-U.S. Gov't|[Support, Non U.S. Gov't$Support, Non-U.S. Gov't$Support, Non U.S. Govt$Support, Non-U.S. Govt]
Middle Age|[Middle Age]
Middle Aged|[Middle Aged]
Elderly|[Aged$Elderly]
Aging|[Aging]
English Abstract|[English Abstract]
Support, U.S. Gov't, P.H.S.|[Support, U.S. Gov't, P.H.S.$United States Gov't Supported, P.H.S.$Support, U.S. Govt, P.H.S.]
Case Report|[Case Report$Case Reports]
Rattus norvegicus|[Rat$Rats$Norway Rats$Rats, Norway$Rattus norvegicus]
Comparative Study|[Comparative Studies$Comparative Study]
Adolescence|[Adolescence]
Child|[Child$Children]
House mice|[Mice$Mouse$Mus musculus$House Mice$House Mouse$Mice, House$Mouse, House]
Laboratory mice|[Laboratory Mice$Laboratory Mouse$Mice, Laboratory$Mouse, Laboratory]
Time Factors|[Factor, Time$Factors, Time$Time Factor$Time Factors]
Child, Preschool|[Child, Preschool$Preschool Child$Children, Preschool$Preschool Children]
Pregnancy|[Pregnancies$Pregnancy]
United States|[United States]
Infant|[Infants$Infant]
Molecular Sequence Data|[Data, Molecular Sequence$Data, Molecular Sequencing$Molecular Sequence Data$Molecular Sequencing Data$Sequence Data, Molecular$Sequencing Data, Molecular]
Kinetics|[Kinetics$Kinetic]
kinetic characteristics|[kinetics]
Support, U.S. Gov't, Non-P.H.S.|[Support, U.S. Gov't, Non P.H.S.$Support, U.S. Gov't, Non-P.H.S.$United States Gov't Supported, Non-P.H.S.$Support, U.S. Govt, Non P.H.S.$Support, U.S. Govt, Non-P.H.S.]
Infant, Newborn|[Infant, Newborn$Infants, Newborn$Newborn Infant$Newborn Infants$Neonate$Neonates$Newborn$Newborns]
In Vitro|[In Vitro]
Liver|[Liver$Livers]
Liver diseases|[Diseases, Liver$Liver Diseases$Disease, Liver$Liver Disease]
Liver Extract|[Extracts, Liver$Liver Extracts]
Base Sequence|[Base Sequence$Base Sequences$Sequence, Base$Sequences, Base$Nucleotide Sequence$Nucleotide Sequences$Sequence, Nucleotide$Sequences, Nucleotide]
Rabbits|[Rabbits$Oryctolagus cuniculus$Domestic Rabbit$Domestic Rabbits$Rabbit, Domestic$Rabbits, Domestic]
Amino Acid Sequence|[Amino Acid Sequence$Amino Acid Sequences$Sequence, Amino Acid$Sequences, Amino Acid$Protein Structure, Primary$Primary Protein Structure$Primary Protein Structures$Protein Structures, Primary$Structure, Primary Protein$Structures, Primary Protein]
Follow-Up Studies|[Follow Up Studies$Follow-Up Studies$Follow-Up Study$Studies, Follow-Up$Study, Follow-Up$Followup Studies$Followup Study$Studies, Followup$Study, Followup]
Cell Culture|[Cell Culture$Cell Cultures$Culture, Cell$Cultures, Cell]
Cells, Cultured|[Cell, Cultured$Cells, Cultured$Cultured Cell$Cultured Cells]
Methods|[Methods]
Methodology|[methods$procedures$techniques]
Age Factors|[Age Factor$Age Factors$Factor, Age$Factors, Age]
Differential Diagnosis|[Diagnoses, Differential$Diagnosis, Differential$Differential Diagnoses$Differential Diagnosis]
Differential diagnostic aspects|[differential diagnosis]
Dogs|[Dog$Dogs$Canis familiaris$familiaris, Canis]
Brain|[Brain$Brains$Encephalon$Encephalons]
Brain Diseases|[Brain Disease$Brain Diseases$Brain Disorders$Brain Disorder$Central Nervous System Disorders, Intracranial$Central Nervous System Intracranial Disorders$Intracranial Central Nervous System Disorders$CNS Disorder, Intracranial$CNS Disorders, Intracranial$Intracranial CNS Disorder$Intracranial CNS Disorders$Encephalon Disease$Encephalon Diseases]
Rats, Inbred Strains|[Inbred Strains Rat$Inbred Strains Rats$Rat, Inbred Strains$Rats, Inbred Strains$Inbred Rat Strains$Inbred Strain of Rat$Inbred Strain of Rats$Inbred Strains of Rats$Rat, Inbred Strain$Inbred Rat Strain$Inbred Strain Rat$Inbred Strain Rats$Rat Inbred Strain$Rat Inbred Strains$Rat Strain, Inbred$Rat Strains, Inbred$Rats Inbred Strain$Rats Inbred Strains$Rats, Inbred Strain$Strain Rat, Inbred$Strain Rats, Inbred$Strain, Inbred Rat$Strains, Inbred Rat]
Aged, 80 and over|[Aged, 80 and over$Oldest Old]
Cattle <1>|[Cattle]
Cow, Domestic|[Bos taurus$Cow, Domestic$Cows, Domestic$Domestic Cow$Domestic Cows]
Risk Factors|[Factor, Risk$Factors, Risk$Risk Factor$Risk Factors]
Cell Line|[Cell Line$Line, Cell$Lines, Cell$Cell Lines]
Electron Microscopy|[Electron Microscopy$Microscopy, Electron]
Postoperative Complications|[Complication, Postoperative$Complications, Postoperative$Postoperative Complication$Postoperative Complications]
Forecast of outcome|[Prognoses$Prognosis]
Dose-Response Relationship, Drug|[Dose Response Relationship, Drug$Dose-Response Relationship, Drug$Dose-Response Relationships, Drug$Drug Dose-Response Relationship$Drug Dose-Response Relationships$Relationship, Drug Dose-Response$Relationships, Drug Dose-Response]
DNA|[Deoxyribonucleic Acid$Deoxyribonucleic acids$DNA]
Calcium|[Factor IV$Coagulation Factor IV$Factor IV, Coagulation$IV, Coagulation Factor$Blood Coagulation Factor IV$Calcium]
Retrospective Studies|[Retrospective Studies$Retrospective Study$Studies, Retrospective$Study, Retrospective]
Blood Pressure|[Blood Pressure$Pressure, Blood]
Blood pressure determination|[Blood Pressure Determination$Blood Pressure Determinations$Determination, Blood Pressure$Determinations, Blood Pressure]
Kidney|[Kidney$Kidneys]
Hydrogen-Ion Concentration|[Concentration, Hydrogen-Ion$Concentrations, Hydrogen-Ion$Hydrogen Ion Concentration$Hydrogen-Ion Concentration$Hydrogen-Ion Concentrations$pH]
RNA, Messenger|[Messenger RNA$RNA, Messenger$mRNA]
Escherichia coli|[Escherichia coli$E coli]
Mutation|[Mutations$Mutation]
Prospective Studies|[Prospective Studies$Prospective Study$Studies, Prospective$Study, Prospective]
Chronic Disease|[Chronic Disease$Disease, Chronic$Diseases, Chronic$Chronic Diseases$Chronic Illness$Chronic Illnesses$Illness, Chronic$Illnesses, Chronic]
X-Ray Computed Tomography|[Computerized Tomographies, X-Ray$Computerized Tomography, X Ray$Computerized Tomography, X-Ray$Tomographies, X-Ray Computerized$Tomography, X-Ray Computerized$X-Ray Computerized Tomographies$X-Ray Computerized Tomography$CT X Ray$CT X Rays$X Ray, CT$X Rays, CT$Tomodensitometries$Tomodensitometry$Computed Tomographies, X-Ray$Computed Tomography, X-Ray$Computed X-Ray Tomographies$Computed X-Ray Tomography$Tomographies, Computed X-Ray$Tomographies, X-Ray Computed$Tomography, Computed X-Ray$Tomography, X Ray Computed$Tomography, X-Ray Computed$X Ray Tomography, Computed$X-Ray Computed Tomographies$X-Ray Computed Tomography$X-Ray Tomographies, Computed$X-Ray Tomography, Computed$Computed Tomographies, Xray$Computed Tomography, Xray$Tomographies, Xray Computed$Tomography, Xray Computed$Xray Computed Tomographies$Xray Computed Tomography$CAT Scan, X Ray$CAT Scan, X-Ray$CAT Scans, X-Ray$Scan, X-Ray CAT$Scans, X-Ray CAT$X-Ray CAT Scan$X-Ray CAT Scans]
Molecular Weight|[Molecular Weight$Weight, Molecular$Weights, Molecular$Molecular Weights]
Cell Division|[Cell Division$Cell Divisions$Division, Cell$Divisions, Cell$Cell Cleavage$Cell Cleavages$Cleavage, Cell$Cleavages, Cell]
F Factor|[Factor, Fertility$Fertility Factor$Factor, Resistance Transfer$Resistance Transfer Factor$Transfer Factor, Resistance$F, Sex Factor$Factor F, Sex$Sex Factor F$Bacterial Sex Factor$Bacterial Sex Factors$Factor, Bacterial Sex$Factors, Bacterial Sex$Sex Factor, Bacterial$Sex Factors, Bacterial$F Factor$Factor, F]
Sex Factors|[Factor, Sex$Factors, Sex$Sex Factor$Sex Factors]
History of Medicine, 20th Cent.|[History of Medicine, 20th Cent.$20th Cent. History (Medicine)$20th Cent. History of Medicine$20th Cent. Histories (Medicine)$Cent. Histories, 20th (Medicine)$Cent. History, 20th (Medicine)$Histories, 20th Cent. (Medicine)$History, 20th Cent. (Medicine)$Medical History, 20th Cent.]
Binding Sites|[Binding Site$Binding Sites$Site, Binding$Sites, Binding$Combining Site$Combining Sites$Site, Combining$Sites, Combining$Reactive Site$Reactive Sites$Site, Reactive$Sites, Reactive]
Treatment outcome|[Outcome, Treatment$Treatment Outcome]
Muscle|[Muscle$Muscles]
